Rk,School,G,Pts,PassingCmp,PassingAtt,PassingPct,PassingYds,PassingTD,RushingAtt,RushingYds,RushingAvg,RushingTD,TotalOffensePlays,TotalOffenseYds,TotalOffenseAvg,FirstDownsPass,FirstDownsRush,FirstDownsPen,FirstDownsTot,PenaltiesNo,PenaltiesYds,TurnoversFum,TurnoversInt,TurnoversTot
1,Ohio State,11,49.4,18.7,27.3,68.7,248.3,3.6,47.7,282.7,5.9,3,75,531,7.1,11.6,14.6,2.2,28.5,5.6,53.4,1,0.1,1.1
2,Alabama,11,48.5,22.3,31.1,71.6,344.3,3.8,33.2,169.3,5.1,2.2,64.3,513.5,8,13.4,9.6,1.6,24.5,7,66.7,0.4,0.4,0.7
3,LSU,11,48.5,28.2,36.5,77.1,386.8,3.5,33.8,174.5,5.2,2.4,70.4,561.4,8,15.8,10.2,1.6,27.4,5.8,59.3,0.5,0.6,1.1
4,Clemson,11,45.9,21.9,33.4,65.7,282.5,2.8,39.2,260.5,6.6,3.1,72.5,543.1,7.5,12.7,11.6,2.1,26.5,5.7,45.7,0.4,0.9,1.3
5,Oklahoma,11,45.3,19.5,27.8,70.3,316.8,3,40.2,258.1,6.4,2.7,68,574.9,8.5,13.3,12.2,1.1,26.3,7.1,76.4,0.8,0.6,1.5
6,UCF,11,43.8,20.9,35.1,59.6,321.2,2.9,42.7,215.2,5,2.7,77.8,536.4,6.9,11.4,11.2,2.9,25.5,8.2,67.9,0.6,0.6,1.3
7,SMU,11,43.5,24.5,38.7,63.4,321.1,2.6,42,184.9,4.4,2.8,80.7,506,6.3,12.5,9.5,3.5,25.5,6.7,62.5,0.5,0.8,1.3
8,Memphis,11,42.2,19.5,29.3,66.8,292,2.7,39.5,198.7,5,2.4,68.7,490.7,7.1,11.3,9.4,2.5,23.1,7.7,64.3,0.8,0.6,1.5
9,Washington State,11,41.5,39,55.1,70.8,456.7,4.3,16.5,76.3,4.6,1,71.6,533,7.4,20.7,4.1,1.8,26.6,6.2,59.2,0.6,1.3,1.9
10,Louisiana,11,39.5,19.1,28.9,66,222.2,1.6,41.7,276.2,6.6,3.5,70.6,498.4,7.1,10.9,13.5,1.3,25.6,6.9,61.2,0.7,0.3,1
11,Appalachian State,11,38.1,16.4,26.6,61.4,200.5,2,42.8,228.9,5.3,2.5,69.5,429.4,6.2,8.8,10.6,1.3,20.7,6.3,59.1,0.2,0.5,0.6
12,Boise State,11,37.9,18.5,30.2,61.1,256,2.1,35.2,157.5,4.5,1.8,65.4,413.5,6.3,10.8,8.8,1.7,21.4,5.7,54.9,0.6,0.7,1.4
13,Navy,10,37.6,4.6,8.9,51.7,103.2,0.8,60.3,352.8,5.9,4,69.2,456,6.6,3.6,18.4,1,23,4.4,37.4,1.2,0.4,1.6
14,Oregon,11,36.9,22.9,33.5,68.5,282.7,3,36.2,180.5,5,1.7,69.6,463.3,6.7,13.3,9.1,2.2,24.5,6.1,65.2,0.4,0.5,0.8
15,Notre Dame,11,36.4,19.6,32.5,60.3,252.8,2.9,36.1,177.3,4.9,1.5,68.6,430.1,6.3,10.5,8.6,1.8,21,6.4,51,0.5,0.5,1
16,Western Michigan,11,36,19.1,31.3,61,250,1.8,39.8,217.2,5.5,3,71.1,467.2,6.6,10.4,10.8,1.9,23.1,6.6,60.9,0.4,0.6,1
17,Minnesota,11,35.9,15.6,23.3,67.2,247.1,2.4,44.1,184.7,4.2,2.2,67.4,431.8,6.4,10.5,10.8,1.3,22.6,4.5,40.6,0.5,0.5,1.1
18,Troy,11,35.7,26.3,40.4,65.1,312.5,2.7,34.4,155.3,4.5,1.6,74.7,467.7,6.3,13.5,9,2.4,24.9,5.5,53.1,0.6,0.8,1.5
19,Air Force,11,35.6,5.3,9.7,54.2,129.9,1.2,57,305.2,5.4,3.3,66.7,435.1,6.5,4.3,17.1,0.5,21.8,3.5,30.3,1,0.5,1.5
